"Region","ScenarioName","Centraltend","Time","Mode","Baseline","Scenario","PercentChange"
"California","CSMP2020","mean","weekly","Walk",36.8722618,73.7445236,100
"Sacramento Area","CSMP2020","mean","weekly","Walk",32.4,64.8,100
"San Diego County","CSMP2020","mean","weekly","Walk",29.5,59,100
"San Joaquin Valley","CSMP2020","mean","weekly","Walk",27.8,55.6,100
"SF Bay Area","CSMP2020","mean","weekly","Walk",57.7967337,115.5934674,100
"Southern California","CSMP2020","mean","weekly","Walk",32.6,65.2,100
"California","CSMP2020","mean","weekly","Bike",3.6107393,10.8322179,200
"Sacramento Area","CSMP2020","mean","weekly","Bike",5.8,17.4,200
"San Diego County","CSMP2020","mean","weekly","Bike",4,12,200
"San Joaquin Valley","CSMP2020","mean","weekly","Bike",1.8,5.4,200
"SF Bay Area","CSMP2020","mean","weekly","Bike",5.8972102,17.6916306,200
"Southern California","CSMP2020","mean","weekly","Bike",2.8,8.4,200
"California","CSMP2020","mean","weekly","Total",40.4830011,84.5767415,108.919149277201
"Sacramento Area","CSMP2020","mean","weekly","Total",38.2,82.2,115.183246073298
"San Diego County","CSMP2020","mean","weekly","Total",33.5,71,111.940298507463
"San Joaquin Valley","CSMP2020","mean","weekly","Total",29.6,61,106.081081081081
"SF Bay Area","CSMP2020","mean","weekly","Total",63.6939439,133.285098,109.258667055158
"Southern California","CSMP2020","mean","weekly","Total",35.4,73.6,107.909604519774
"California","CSMP2020","median","weekly","Walk",17.4931280349376,36.0049049193067,105.823137219354
"Sacramento Area","CSMP2020","median","weekly","Walk",14.9568519857661,30.7656777315285,105.696210411168
"San Diego County","CSMP2020","median","weekly","Walk",15.1453251811537,31.0791839862874,105.206448950738
"San Joaquin Valley","CSMP2020","median","weekly","Walk",10.6089511196833,21.5862438443035,103.471988896749
"SF Bay Area","CSMP2020","median","weekly","Walk",29.9793141245031,62.9274184297547,109.902795535679
"Southern California","CSMP2020","median","weekly","Walk",14.9701219335151,30.6753340138428,104.910381826396
"California","CSMP2020","median","weekly","Bike",1.71302550459979,5.28870425240245,208.734705829031
"Sacramento Area","CSMP2020","median","weekly","Bike",2.67746115794579,8.2611542056882,208.544315616752
"San Diego County","CSMP2020","median","weekly","Bike",2.05360341439372,6.32118996331269,207.809673426106
"San Joaquin Valley","CSMP2020","median","weekly","Bike",0.686910504152157,2.09650569710862,205.207983345123
"SF Bay Area","CSMP2020","median","weekly","Bike",3.05889806786822,9.6310688355634,214.854193303519
"Southern California","CSMP2020","median","weekly","Bike",1.28577734398289,3.95203689748895,207.365572739594
"California","CSMP2020","median","weekly","Total",19.2061535395374,41.2936091717092,115.00197364716
"Sacramento Area","CSMP2020","median","weekly","Total",17.6343131437119,39.0268319372167,121.311891306257
"San Diego County","CSMP2020","median","weekly","Total",17.1989285955474,37.4003739496001,117.457580231379
"San Joaquin Valley","CSMP2020","median","weekly","Total",11.2958616238355,23.6827495414122,109.658637207799
"SF Bay Area","CSMP2020","median","weekly","Total",33.0382121923713,72.5584872653181,119.619896024738
"Southern California","CSMP2020","median","weekly","Total",16.255899277498,34.6273709113318,113.014182237609
"California","CSMP2020","mean","daily","Walk",5.26746597142857,10.5349319428571,100
"Sacramento Area","CSMP2020","mean","daily","Walk",4.62857142857143,9.25714285714286,100
"San Diego County","CSMP2020","mean","daily","Walk",4.21428571428571,8.42857142857143,100
"San Joaquin Valley","CSMP2020","mean","daily","Walk",3.97142857142857,7.94285714285714,100
"SF Bay Area","CSMP2020","mean","daily","Walk",8.25667624285714,16.5133524857143,100
"Southern California","CSMP2020","mean","daily","Walk",4.65714285714286,9.31428571428571,100
"California","CSMP2020","mean","daily","Bike",0.5158199,1.5474597,200
"Sacramento Area","CSMP2020","mean","daily","Bike",0.828571428571429,2.48571428571429,200
"San Diego County","CSMP2020","mean","daily","Bike",0.571428571428571,1.71428571428571,200
"San Joaquin Valley","CSMP2020","mean","daily","Bike",0.257142857142857,0.771428571428571,200
"SF Bay Area","CSMP2020","mean","daily","Bike",0.8424586,2.5273758,200
"Southern California","CSMP2020","mean","daily","Bike",0.4,1.2,200
"California","CSMP2020","mean","daily","Total",5.78328587142857,12.0823916428571,108.919149277201
"Sacramento Area","CSMP2020","mean","daily","Total",5.45714285714286,11.7428571428571,115.183246073298
"San Diego County","CSMP2020","mean","daily","Total",4.78571428571429,10.1428571428571,111.940298507463
"San Joaquin Valley","CSMP2020","mean","daily","Total",4.22857142857143,8.71428571428571,106.081081081081
"SF Bay Area","CSMP2020","mean","daily","Total",9.09913484285714,19.0407282857143,109.258667055158
"Southern California","CSMP2020","mean","daily","Total",5.05714285714286,10.5142857142857,107.909604519774
"California","CSMP2020","median","daily","Walk",2.49901829070537,5.14355784561525,105.823137219354
"Sacramento Area","CSMP2020","median","daily","Walk",2.13669314082373,4.39509681878978,105.696210411168
"San Diego County","CSMP2020","median","daily","Walk",2.16361788302196,4.43988342661248,105.206448950738
"San Joaquin Valley","CSMP2020","median","daily","Walk",1.51556444566904,3.08374912061479,103.471988896749
"SF Bay Area","CSMP2020","median","daily","Walk",4.2827591606433,8.98963120425067,109.902795535679
"Southern California","CSMP2020","median","daily","Walk",2.13858884764501,4.38219057340612,104.910381826396
"California","CSMP2020","median","daily","Bike",0.244717929228542,0.755529178914635,208.734705829031
"Sacramento Area","CSMP2020","median","daily","Bike",0.382494451135112,1.18016488652689,208.544315616752
"San Diego County","CSMP2020","median","daily","Bike",0.29337191634196,0.903027137616098,207.809673426106
"San Joaquin Valley","CSMP2020","median","daily","Bike",0.0981300720217368,0.29950081387266,205.207983345123
"SF Bay Area","CSMP2020","median","daily","Bike",0.436985438266888,1.37586697650906,214.854193303519
"Southern California","CSMP2020","median","daily","Bike",0.183682477711841,0.564576699641279,207.365572739594
"California","CSMP2020","median","daily","Total",2.74373621993391,5.89908702452988,115.00197364716
"Sacramento Area","CSMP2020","median","daily","Total",2.51918759195884,5.57526170531666,121.311891306257
"San Diego County","CSMP2020","median","daily","Total",2.45698979936392,5.34291056422858,117.457580231379
"San Joaquin Valley","CSMP2020","median","daily","Total",1.61369451769078,3.38324993448745,109.658637207799
"SF Bay Area","CSMP2020","median","daily","Total",4.71974459891019,10.3654981807597,119.619896024738
"Southern California","CSMP2020","median","daily","Total",2.32227132535685,4.9467672730474,113.014182237609
"California","CARB2030","mean","weekly","Walk",36.8722618,147.4890472,300
"Sacramento Area","CARB2030","mean","weekly","Walk",32.4,129.6,300
"San Diego County","CARB2030","mean","weekly","Walk",29.5,118,300
"San Joaquin Valley","CARB2030","mean","weekly","Walk",27.8,111.2,300
"SF Bay Area","CARB2030","mean","weekly","Walk",57.7967337,231.1869348,300
"Southern California","CARB2030","mean","weekly","Walk",32.6,130.4,300
"California","CARB2030","mean","weekly","Bike",3.6107393,32.4966537,800
"Sacramento Area","CARB2030","mean","weekly","Bike",5.8,52.2,800
"San Diego County","CARB2030","mean","weekly","Bike",4,36,800
"San Joaquin Valley","CARB2030","mean","weekly","Bike",1.8,16.2,800
"SF Bay Area","CARB2030","mean","weekly","Bike",5.8972102,53.0748918,800
"Southern California","CARB2030","mean","weekly","Bike",2.8,25.2,800
"California","CARB2030","mean","weekly","Total",40.4830011,179.9857009,344.595746386006
"Sacramento Area","CARB2030","mean","weekly","Total",38.2,181.8,375.916230366492
"San Diego County","CARB2030","mean","weekly","Total",33.5,154,359.701492537313
"San Joaquin Valley","CARB2030","mean","weekly","Total",29.6,127.4,330.405405405405
"SF Bay Area","CARB2030","mean","weekly","Total",63.6939439,284.2618266,346.293335275789
"Southern California","CARB2030","mean","weekly","Total",35.4,155.6,339.54802259887
"California","CARB2030","median","weekly","Walk",17.4931280349376,76.7749762067062,338.886493332524
"Sacramento Area","CARB2030","median","weekly","Walk",14.9568519857661,65.7085885787165,339.320979048592
"San Diego County","CARB2030","median","weekly","Walk",15.1453251811537,65.8925296959454,335.068438001844
"San Joaquin Valley","CARB2030","median","weekly","Walk",10.6089511196833,44.8094215041155,322.373720065298
"SF Bay Area","CARB2030","median","weekly","Walk",29.9793141245031,140.417603287461,368.381640434837
"Southern California","CARB2030","median","weekly","Walk",14.9701219335151,64.723469819307,332.350986229472
"California","CARB2030","median","weekly","Bike",1.71302550459979,16.9160345258171,887.494609998181
"Sacramento Area","CARB2030","median","weekly","Bike",2.67746115794579,26.4659592886497,888.472202859334
"San Diego County","CARB2030","median","weekly","Bike",2.05360341439372,20.1028056699494,878.90398550415
