"Region","ScenarioName","Centraltend","Time","Mode","Baseline","Scenario","PercentChange"
"California","CSMP2020","mean","annual","Walk",96.2,192.4,100
"Sacramento Area","CSMP2020","mean","annual","Walk",84.5,169,100
"San Diego County","CSMP2020","mean","annual","Walk",76.8,153.6,100
"San Joaquin Valley","CSMP2020","mean","annual","Walk",72.5,145,100
"SF Bay Area","CSMP2020","mean","annual","Walk",150.7,301.4,100
"Southern California","CSMP2020","mean","annual","Walk",84.9,169.8,100
"California","CSMP2020","mean","annual","Bike",37.5,112.5,200
"Sacramento Area","CSMP2020","mean","annual","Bike",60.7,182.1,200
"San Diego County","CSMP2020","mean","annual","Bike",42.1,126.3,200
"San Joaquin Valley","CSMP2020","mean","annual","Bike",18.4,55.2,200
"SF Bay Area","CSMP2020","mean","annual","Bike",61.5,184.5,200
"Southern California","CSMP2020","mean","annual","Bike",29,87,200
"California","CSMP2020","mean","annual","CarDriver",6880.2,6472.50064139605,-5.93
"Sacramento Area","CSMP2020","mean","annual","CarDriver",5653.2,5425.06242092371,-4.04
"San Diego County","CSMP2020","mean","annual","CarDriver",4840.6,4540.21402070205,-6.21
"San Joaquin Valley","CSMP2020","mean","annual","CarDriver",6207,5869.10771230228,-5.44
"SF Bay Area","CSMP2020","mean","annual","CarDriver",5683.3,4985.47306391028,-12.28
"Southern California","CSMP2020","mean","annual","CarDriver",7967.2,7595.50094739528,-4.67
"California","CSMP2020","mean","annual","CarPassenger",3503.4,3295.79935860395,-5.93
"Sacramento Area","CSMP2020","mean","annual","CarPassenger",4226.5,4055.93757907629,-4.04
"San Diego County","CSMP2020","mean","annual","CarPassenger",3062,2871.98597929795,-6.21
"San Joaquin Valley","CSMP2020","mean","annual","CarPassenger",3257.1,3079.79228769772,-5.44
"SF Bay Area","CSMP2020","mean","annual","CarPassenger",1824.1,1600.12693608972,-12.28
"Southern California","CSMP2020","mean","annual","CarPassenger",4181.9,3986.79905260472,-4.67
"California","CSMP2020","mean","annual","Bus",297.5,595,100
"Sacramento Area","CSMP2020","mean","annual","Bus",160.3,320.6,100
"San Diego County","CSMP2020","mean","annual","Bus",234.8,469.6,100
"San Joaquin Valley","CSMP2020","mean","annual","Bus",397.9,795.8,100
"SF Bay Area","CSMP2020","mean","annual","Bus",293.6,587.2,100
